account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
APEX-484839-10,MCL,MCLU6,Short,2.0,82.59,2026-08-17T10:33:36,82.17,2026-08-17T10:51:24,84.0,Orders-81.csv
APEX-484839-10,MNQ,MNQU6,Long,2.0,30208.5,2026-08-17T10:10:06,30237.25,2026-08-17T10:58:34,115.0,Orders-81.csv
APEX-484839-10,M2K,M2KU6,Long,7.0,3065.2,2026-08-17T10:11:53,3063.8,2026-08-17T16:59:01,-49.0,Orders-81.csv
APEX-484839-10,MCL,MCLU6,Short,3.0,83.31,2026-08-17T13:06:55,84.95,2026-08-17T16:59:01,-492.0,Orders-81.csv
APEX-484839-10,MNQ,MNQU6,Long,2.0,30235.25,2026-08-17T11:39:12,30071.0,2026-08-17T16:59:01,-657.0,Orders-81.csv
APEX-484839-10,MNQ,MNQU6,Long,2.0,30152.75,2026-08-17T13:12:30,30071.0,2026-08-17T16:59:01,-327.0,Orders-81.csv
APEX-484839-10,M2K,M2KU6,Long,7.0,3050.4,2026-08-18T04:00:23,3050.6,2026-08-18T04:11:21,7.0,Orders-82.csv
APEX-484839-10,MYM,MYMU6,Short,5.0,53508.0,2026-08-18T02:58:13,53466.0,2026-08-18T04:35:46,105.0,Orders-82.csv
APEX-484839-10,M2K,M2KU6,Short,7.0,3055.7,2026-08-18T04:38:03,3054.3,2026-08-18T04:49:07,49.0,Orders-82.csv
APEX-484839-10,MES,MESU6,Long,3.0,7724.75,2026-08-18T05:18:51,7736.5,2026-08-18T07:19:37,176.25,Orders-82.csv
APEX-484839-10,MYM,MYMU6,Short,5.0,53549.0,2026-08-18T06:00:00,53334.0,2026-08-18T09:30:31,537.5,Orders-82.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4433.4,2026-08-18T09:30:17,4450.0,2026-08-18T09:32:07,166.0,Orders-82.csv
APEX-484839-10,MGC,MGCZ6,Long,2.0,4422.4,2026-08-18T10:59:06,4388.7,2026-08-18T16:59:00,-674.0,Orders-82.csv
