Contracts,Leverage,Direction,Order No.,Transaction Time(UTC+8),Order Type,Filled Type,Filled Qty,Filled Price,Fees,Liquidation fee,Position order no.,P/L,Margin,Close price,Swaps,Opening fee,Withholding profit,Net P/L
BTCUSDT,175,BUY,61468744,2024-12-19 00:01:04,Market,CLOSE,0.08,104403.26000000,-3.76000000,-,19514396,4.78000000,47.75449143,104403.26000000,-,-3.76000000,0.00000000,-2.74000000
BTCUSDT,175,SELL,61467814,2024-12-18 23:45:54,Market,OPEN,0.08,104462.95000000,-3.76000000,-,19514396,-,47.75449143,-,-,-,-,-
BTCUSDT,110,SELL,61454567,2024-12-18 20:52:34,Market,CLOSE,0.05,104751.35000000,-2.36000000,-,19503757,49.63000000,47.16303182,104751.35000000,-,-2.33000000,6.74000000,44.94000000
BIGTIMEUSDT,15,BUY,61450920,2024-12-18 20:10:44,Market,OPEN,4760.00,0.15751000,-0.34000000,-,19510419,-,49.98317333,-,-,-,-,-
SOLUSDT,185,BUY,61427238,2024-12-18 16:43:34,Market,CLOSE,41.00,215.74660000,-3.98000000,-,19494930,360.69000000,49.76378324,215.74660000,-,-4.14000000,52.89000000,352.57000000
XRPUSDT,185,BUY,61426154,2024-12-18 16:28:34,Market,OPEN,3600.00,2.50367000,-4.06000000,-,19507129,-,48.72006486,-,-,-,-,-
ETHUSDT,170,BUY,61422820,2024-12-18 15:39:03,Market,CLOSE,2.10,3837.72000000,-3.63000000,-,19493122,231.00000000,48.76595294,3837.72000000,-,-3.73000000,33.55000000,223.64000000
ADAUSDT,40,BUY,61418201,2024-12-18 14:35:55,Market,OPEN,200.00,1.02011900,-0.09000000,-,19505180,-,5.10059500,-,-,-,-,-
SUIUSDT,40,BUY,61417769,2024-12-18 14:30:17,Market,OPEN,100.00,4.50330000,-0.20000000,-,19505086,-,11.25825000,-,-,-,-,-
SOLUSDT,500,BUY,61417520,2024-12-18 14:25:26,Market,OPEN,2.00,216.37790000,-0.19000000,-,19505024,-,0.86551160,-,-,-,-,-
XLMUSDT,40,BUY,61417135,2024-12-18 14:18:09,Market,OPEN,10000.00,0.42462900,-1.91000000,-,19504939,-,106.15725000,-,-,-,-,-
BTCUSDT,110,BUY,61412334,2024-12-18 13:13:24,Market,OPEN,0.05,103758.67000000,-2.33000000,-,19503757,-,47.16303182,-,-,-,-,-
BTCUSDT,40,SELL,61397156,2024-12-18 10:46:34,Market,CLOSE,0.01,105567.61000000,-0.48000000,-,19498924,-8.08000000,26.59380250,105567.61000000,-,-0.48000000,0.00000000,-9.04000000
BTCUSDT,40,BUY,61390453,2024-12-18 09:32:14,Market,OPEN,0.01,106375.21000000,-0.48000000,-,19498924,-,26.59380250,-,-,-,-,-
BTCUSDT,40,SELL,61366621,2024-12-18 07:09:34,Market,CLOSE,0.01,105682.58000000,-0.48000000,-,19483198,-16.35000000,26.82943500,105682.58000000,-,-0.48000000,0.00000000,-17.31000000
XRPUSDT,20,SELL,61365701,2024-12-18 07:02:33,Market,CLOSE,300.00,2.53998000,-0.34000000,-,19480452,-44.23000000,40.31115000,2.53998000,-,-0.36000000,0.00000000,-44.93000000
HBARUSDT,50,BUY,61362178,2024-12-18 06:36:43,Market,OPEN,5000.00,0.28849000,-0.65000000,-,19495046,-,28.84900000,-,-,-,-,-
SOLUSDT,185,SELL,61361882,2024-12-18 06:34:04,Market,OPEN,41.00,224.54390000,-4.14000000,-,19494930,-,49.76378324,-,-,-,-,-
SOLUSDT,60,SELL,61361748,2024-12-18 06:33:04,Market,CLOSE,13.00,224.18450000,-1.31000000,-,19488842,-25.12000000,48.99190833,224.18450000,-,-1.32000000,0.00000000,-27.75000000
ETHUSDT,170,SELL,61353850,2024-12-18 04:48:54,Market,OPEN,2.10,3947.72000000,-3.73000000,-,19493122,-,48.76595294,-,-,-,-,-
BTCUSDT,180,SELL,61348822,2024-12-18 03:26:04,Market,CLOSE,0.08,106705.27000000,-3.84000000,-,19483964,-80.98000000,47.87444444,106705.27000000,-,-3.88000000,0.00000000,-88.70000000
SOLUSDT,60,BUY,61338777,2024-12-18 01:17:44,Market,OPEN,13.00,226.11650000,-1.32000000,-,19488842,-,48.99190833,-,-,-,-,-
RONUSDT,15,BUY,61320505,2024-12-18 00:13:04,Market,CLOSE,332.00,2.41050000,-0.36000000,-,19475335,-51.66000000,49.90845333,2.41050000,-,-0.34000000,0.00000000,-52.36000000
BTCUSDT,180,BUY,61306188,2024-12-17 22:23:34,Market,OPEN,0.08,107717.50000000,-3.88000000,-,19483964,-,47.87444444,-,-,-,-,-
BTCUSDT,40,BUY,61303286,2024-12-17 21:53:23,Market,OPEN,0.01,107317.74000000,-0.48000000,-,19483198,-,26.82943500,-,-,-,-,-
CROUSDT,15,BUY,61296643,2024-12-17 20:40:03,Market,CLOSE,3900.00,0.19422000,-0.34000000,-,19473765,-16.65000000,49.38700000,0.19422000,-,-0.33000000,0.00000000,-17.32000000
XRPUSDT,20,BUY,61291407,2024-12-17 19:38:13,Market,OPEN,300.00,2.68741000,-0.36000000,-,19480452,-,40.31115000,-,-,-,-,-
XRPUSDT,80,SELL,61267413,2024-12-17 16:58:34,Market,CLOSE,1500.00,2.57221000,-1.74000000,-,19476981,34.20000000,47.80143750,2.57221000,-,-1.72000000,4.61000000,30.74000000
XRPUSDT,80,BUY,61264495,2024-12-17 16:17:04,Market,OPEN,1500.00,2.54941000,-1.72000000,-,19476981,-,47.80143750,-,-,-,-,-
RONUSDT,15,SELL,61258092,2024-12-17 14:34:54,Market,OPEN,332.00,2.25490000,-0.34000000,-,19475335,-,49.90845333,-,-,-,-,-
CROUSDT,15,SELL,61250609,2024-12-17 12:53:43,Market,OPEN,3900.00,0.18995000,-0.33000000,-,19473765,-,49.38700000,-,-,-,-,-
XRPUSDT,20,BUY,61249159,2024-12-17 12:36:34,Market,OPEN,100.00,2.46551000,-0.11000000,-,19473393,-,12.32755000,-,-,-,-,-
